report_date,country,region,tier,rank,game,provider,source_report
2026-03-27,Argentina,LATAM,Tier 2,1,Sugar Rush 1000,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,2,Gates of Olympus 1000,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,3,Gates of Olympus,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,4,Sugar Rush,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,5,Sweet Bonanza,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,6,Zeus vs Hades Gods of War,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,7,Gates of Olympus Super Scatter,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,8,Big Bass Splash,Reel Kingdom,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,9,Sweet Bonanza 1000,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,10,Live Speed Roulette,Amusnet,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,11,European Roulette,Evoplay,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,12,The Dog House Megaways,Pragmatic Play,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,13,Roulette Lite,ICONIC21,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,14,American Roulette,KA Gaming,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-03-27,Argentina,LATAM,Tier 2,15,Crazy Time,Evolution,Tier2_Top15_27_03_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,1,5 Lions Megaways,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,2,Gold Party,Wild Streak Gaming,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,3,Joker's Jewels,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,4,Gates of Olympus,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,5,Buffalo King Megaways,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,6,Sugar Rush,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,7,Sweet Argentina,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,8,Sweet Bonanza,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,9,First Person Roulette,Evolution,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,10,Kemet's Treasures,Amusnet,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,11,Blackjack 3 Hand,Habanero,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,12,Panda Panda,Habanero,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,13,Cosmic Cash,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,14,First Person Blackjack,Evolution,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-08-28,Argentina,LATAM,Tier 2,15,Chilli Heat,Pragmatic Play,Tier2_Top15_28_08_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,1,Joker’s Jewels,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,2,Gold Party,Wild Streak Gaming,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,3,First Person Blackjack,Evolution,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,4,5 Lions Megaways,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,5,Gates of Olympus,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,6,Sweet Argentina,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,7,Sugar Rush,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,8,Starlight Princess,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,9,First Person Roulette,Evolution,Tier2_Top15_29_05_Blask_iGamingNews.pdf
